epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1409,0.61488,0.96488,1.00013,0,0,0,0,0,0,0,0.0700564,0.00332707,0.00332707
2,101.23,0.56173,0.64113,0.97927,0,0,0,0,0,0,0,0.0399905,0.00659446,0.00659446
3,147.781,0.51571,0.55411,0.95477,0,0,0,0,0,0,0,0.00985852,0.00979586,0.00979586
4,193.802,0.49851,0.52672,0.94665,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,239.753,0.46531,0.48075,0.9288,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,285.758,0.44746,0.45505,0.92102,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,331.647,0.4424,0.43983,0.91622,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,377.657,0.42827,0.43072,0.90992,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,423.578,0.41499,0.40894,0.9025,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,469.33,0.40654,0.40112,0.89969,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,514.854,0.39848,0.38911,0.89567,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,560.34,0.38639,0.37811,0.89046,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,606.159,0.39028,0.37546,0.89106,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,651.702,0.38171,0.36901,0.88571,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,697.225,0.37705,0.36555,0.88554,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,742.747,0.37033,0.35764,0.88319,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,788.269,0.36315,0.35147,0.88213,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,833.831,0.36139,0.34776,0.87841,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,879.42,0.35514,0.33867,0.8753,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,924.883,0.35533,0.33852,0.87617,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,970.345,0.34663,0.33305,0.8723,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,1015.78,0.34068,0.32814,0.86977,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,1061.2,0.3443,0.32929,0.87161,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,1106.8,0.33759,0.32373,0.86838,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,1154.25,0.33636,0.32161,0.86721,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,1200.17,0.33587,0.31978,0.8666,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,1246.11,0.33011,0.31325,0.86402,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,1291.89,0.32711,0.3104,0.86519,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,1337.56,0.32103,0.30365,0.86058,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,1383.49,0.3228,0.30664,0.86192,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,1429.23,0.32245,0.30479,0.85953,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,1474.94,0.31399,0.29711,0.85832,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,1520.51,0.31849,0.29991,0.86011,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,1565.98,0.31379,0.29528,0.85774,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,1611.39,0.30976,0.29199,0.8556,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,1656.82,0.31326,0.29285,0.85675,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,1702.3,0.31083,0.29119,0.85548,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,1747.84,0.30685,0.28846,0.85285,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,1793.42,0.30235,0.28474,0.8526,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,1839.05,0.30485,0.28549,0.85334,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,1884.66,0.30041,0.28272,0.85224,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,1930.17,0.30071,0.28234,0.85221,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,1975.62,0.29622,0.27664,0.84909,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,2021.04,0.29664,0.27792,0.85086,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,2066.44,0.29355,0.27597,0.84836,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,2111.91,0.2947,0.27524,0.84841,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,2157.27,0.29184,0.27283,0.8475,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,2202.5,0.29055,0.27321,0.8462,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,2247.83,0.28726,0.27053,0.84542,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,2293.31,0.28637,0.26864,0.84552,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,2338.71,0.28529,0.26774,0.84426,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,2384.15,0.2844,0.26644,0.84365,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,2429.62,0.28385,0.26492,0.84525,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,2475.08,0.28275,0.26151,0.84361,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,2520.52,0.28155,0.26187,0.84408,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,2567,0.27888,0.26029,0.84121,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,2612.53,0.27707,0.25737,0.8415,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,2658.01,0.27497,0.25496,0.8402,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,2703.67,0.27653,0.25493,0.84256,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,2749.1,0.27376,0.25469,0.84046,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,2794.4,0.2727,0.25303,0.8399,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,2839.77,0.27077,0.2508,0.83944,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,2885.12,0.26981,0.24913,0.83874,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,2930.39,0.26887,0.24805,0.83919,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,2975.68,0.26738,0.24611,0.8366,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,3021.02,0.26648,0.24478,0.83874,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,3066.39,0.2659,0.24603,0.83683,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,3111.82,0.26527,0.24408,0.83648,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,3157.26,0.26358,0.24347,0.83576,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,3202.78,0.26246,0.24256,0.83625,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,3248.32,0.25944,0.23901,0.83373,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,3293.86,0.25879,0.23797,0.833,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,3339.39,0.25983,0.23871,0.83372,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,3384.92,0.25709,0.23617,0.83403,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,3430.39,0.25472,0.23285,0.83283,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,3475.79,0.25638,0.23581,0.83338,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,3521.19,0.25486,0.23232,0.83169,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,3566.7,0.25218,0.23043,0.83161,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,3612.12,0.25154,0.23013,0.83147,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,3657.52,0.24938,0.22823,0.83046,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,3702.93,0.24904,0.22707,0.82948,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,3748.38,0.2496,0.22751,0.82965,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,3793.9,0.24781,0.22619,0.82844,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,3839.35,0.24698,0.2257,0.82968,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,3884.87,0.24597,0.22508,0.82942,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,3930.41,0.24408,0.22291,0.8281,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,3975.87,0.24205,0.2208,0.82807,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,4021.31,0.2417,0.21935,0.82705,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,4066.81,0.24197,0.21905,0.82724,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,4112.34,0.23992,0.21773,0.82634,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,4157.86,0.21721,0.18806,0.80708,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,4202.84,0.21294,0.18459,0.80651,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,4247.59,0.20963,0.18209,0.80315,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,4292.31,0.20722,0.18079,0.80338,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,4338.28,0.20644,0.17855,0.80271,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,4382.93,0.20456,0.17751,0.80171,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,4427.66,0.20465,0.17703,0.80305,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,4472.36,0.20365,0.17628,0.80228,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,4517.04,0.20215,0.17384,0.80187,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,4612.29,0.20152,0.17377,0.80155,0.9999,0.99985,0.995,0.95127,0.19368,0.15827,0.77576,0.000199,0.000199,0.000199
