epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2404,1.0153,1.04185,1.34551,0.87515,0.8807,0.92571,0.59001,1.21038,1.07049,1.3906,0.0700685,0.00332572,0.00332572
2,102.727,0.94021,0.67747,1.32847,0.83404,0.73458,0.81951,0.54678,1.09619,1.09808,1.39401,0.0400026,0.00659313,0.00659313
3,150.755,0.91124,0.62613,1.31893,0.70959,0.25606,0.34129,0.22797,2.34564,4.46425,3.1923,0.00987064,0.00979454,0.00979454
4,197.896,0.8709,0.57266,1.29814,0.85884,0.80423,0.88454,0.61504,1.06457,0.82372,1.47494,0.009703,0.009703,0.009703
5,245.023,0.85481,0.54173,1.28896,0.97899,0.96485,0.99284,0.82581,0.68038,0.49162,1.17718,0.009604,0.009604,0.009604
6,292.215,0.80965,0.51194,1.27058,0.9835,0.97662,0.9916,0.81819,0.69214,0.40195,1.17126,0.009505,0.009505,0.009505
7,339.403,0.78884,0.48543,1.25956,0.96807,0.94316,0.98599,0.8079,0.73359,0.51041,1.19191,0.009406,0.009406,0.009406
8,386.797,0.77871,0.47327,1.25242,0.97971,0.97212,0.99032,0.79554,0.77818,0.42867,1.19406,0.009307,0.009307,0.009307
9,434.156,0.75743,0.45165,1.24728,0.99273,0.99304,0.99461,0.85079,0.61686,0.34783,1.1368,0.009208,0.009208,0.009208
10,481.467,0.74372,0.44219,1.23754,0.98816,0.98846,0.99443,0.8541,0.6175,0.39094,1.13938,0.009109,0.009109,0.009109
11,529.108,0.73963,0.43318,1.23597,0.76034,0.84645,0.85219,0.70257,0.67249,0.77189,1.22181,0.00901,0.00901,0.00901
12,576.131,0.72683,0.42749,1.23088,0.98238,0.98612,0.99355,0.85106,0.62562,0.35339,1.14133,0.008911,0.008911,0.008911
13,623.345,0.72108,0.41826,1.22786,0.98862,0.99231,0.9945,0.84262,0.64006,0.36458,1.14385,0.008812,0.008812,0.008812
14,671.085,0.71188,0.40947,1.22609,0.99666,0.99698,0.99489,0.84899,0.64148,0.32754,1.13532,0.008713,0.008713,0.008713
15,718.435,0.71271,0.41031,1.22642,0.98446,0.98388,0.9919,0.86026,0.57519,0.34038,1.13003,0.008614,0.008614,0.008614
16,765.759,0.70536,0.40248,1.22039,0.99548,0.99415,0.99481,0.88662,0.5059,0.29574,1.1036,0.008515,0.008515,0.008515
17,813.087,0.69998,0.39403,1.21533,0.99647,0.99556,0.99482,0.88325,0.54341,0.30075,1.10999,0.008416,0.008416,0.008416
18,860.169,0.69857,0.39577,1.22004,0.99413,0.99621,0.99488,0.86174,0.61177,0.31328,1.13201,0.008317,0.008317,0.008317
19,907.193,0.69252,0.39231,1.21922,0.99608,0.99715,0.99491,0.87341,0.57844,0.2964,1.12525,0.008218,0.008218,0.008218
20,954.461,0.67543,0.38408,1.21221,0.99125,0.99216,0.99439,0.89721,0.47307,0.29278,1.09356,0.008119,0.008119,0.008119
21,1001.67,0.67485,0.38196,1.21259,0.98809,0.98448,0.99264,0.88782,0.49132,0.29947,1.10129,0.00802,0.00802,0.00802
22,1049.82,0.66224,0.37587,1.20645,0.99518,0.99428,0.99442,0.90536,0.46067,0.28403,1.08967,0.007921,0.007921,0.007921
23,1097.05,0.65612,0.36985,1.20232,0.99687,0.99584,0.99493,0.91112,0.44537,0.27136,1.08604,0.007822,0.007822,0.007822
24,1144.38,0.64975,0.36654,1.1988,0.99556,0.99661,0.99464,0.92196,0.41964,0.26309,1.07848,0.007723,0.007723,0.007723
25,1191.73,0.64555,0.3645,1.1996,0.9956,0.9966,0.99478,0.91807,0.41857,0.26263,1.07727,0.007624,0.007624,0.007624
26,1238.99,0.63984,0.35923,1.19405,0.9951,0.99629,0.99485,0.92372,0.40556,0.25634,1.07341,0.007525,0.007525,0.007525
27,1286.21,0.63447,0.35933,1.19378,0.99583,0.9978,0.99493,0.92326,0.40522,0.25699,1.07344,0.007426,0.007426,0.007426
28,1333.44,0.63296,0.35338,1.19357,0.97821,0.99475,0.99433,0.91359,0.42731,0.27674,1.08362,0.007327,0.007327,0.007327
29,1380.65,0.62713,0.34931,1.18984,0.99612,0.9971,0.99488,0.92352,0.39731,0.25107,1.07204,0.007228,0.007228,0.007228
30,1427.8,0.616,0.34735,1.18801,0.99494,0.99774,0.99481,0.92568,0.39389,0.24733,1.06915,0.007129,0.007129,0.007129
31,1474.98,0.60521,0.33984,1.18274,0.99004,0.99751,0.99488,0.92384,0.4095,0.2577,1.07585,0.00703,0.00703,0.00703
32,1522.3,0.6033,0.33754,1.17844,0.9953,0.99557,0.99483,0.92615,0.39444,0.24325,1.0654,0.006931,0.006931,0.006931
33,1569.64,0.59946,0.3362,1.17824,0.99735,0.99816,0.99497,0.93558,0.37674,0.2324,1.06514,0.006832,0.006832,0.006832
34,1617.02,0.59311,0.33381,1.17395,0.99759,0.99826,0.99499,0.93458,0.37413,0.2282,1.06213,0.006733,0.006733,0.006733
35,1664.26,0.58736,0.32895,1.1738,0.99782,0.99881,0.99499,0.93654,0.3616,0.22364,1.05805,0.006634,0.006634,0.006634
36,1711.44,0.58414,0.32693,1.17145,0.99826,0.99796,0.99498,0.93955,0.35885,0.21936,1.05591,0.006535,0.006535,0.006535
37,1758.64,0.5823,0.32338,1.17085,0.99728,0.99839,0.99499,0.93721,0.36426,0.22416,1.05929,0.006436,0.006436,0.006436
38,1805.89,0.57776,0.32518,1.17046,0.99766,0.99882,0.99495,0.93798,0.36041,0.21899,1.05684,0.006337,0.006337,0.006337
39,1853.04,0.57331,0.32184,1.16548,0.99844,0.99845,0.99493,0.93873,0.36486,0.22299,1.05943,0.006238,0.006238,0.006238
40,1900.39,0.57905,0.32045,1.16715,0.99463,0.99816,0.99495,0.9235,0.39363,0.23498,1.06545,0.006139,0.006139,0.006139
41,1947.69,0.56799,0.31812,1.16592,0.9977,0.99889,0.99498,0.93917,0.35424,0.21683,1.05502,0.00604,0.00604,0.00604
42,1995.02,0.56346,0.31674,1.16469,0.99732,0.99858,0.9949,0.93062,0.3757,0.22337,1.06005,0.005941,0.005941,0.005941
43,2042.29,0.56363,0.31436,1.16289,0.99761,0.99924,0.99496,0.94152,0.34635,0.21174,1.053,0.005842,0.005842,0.005842
44,2089.63,0.55952,0.31088,1.16074,0.99863,0.99896,0.99499,0.94313,0.34723,0.21016,1.05323,0.005743,0.005743,0.005743
45,2136.83,0.55627,0.31022,1.15996,0.99769,0.99799,0.99495,0.93365,0.37046,0.22111,1.05969,0.005644,0.005644,0.005644
46,2183.92,0.55532,0.30733,1.15931,0.99772,0.99922,0.99498,0.93979,0.3499,0.21571,1.05351,0.005545,0.005545,0.005545
47,2231.15,0.54952,0.30672,1.15852,0.99775,0.99888,0.99496,0.94279,0.3467,0.21086,1.05271,0.005446,0.005446,0.005446
48,2278.33,0.55179,0.30567,1.15926,0.99757,0.99879,0.99494,0.93798,0.35759,0.21532,1.05499,0.005347,0.005347,0.005347
49,2325.63,0.55007,0.30438,1.15763,0.99804,0.99849,0.99499,0.94123,0.34557,0.20831,1.05143,0.005248,0.005248,0.005248
50,2372.76,0.54688,0.30396,1.15723,0.99854,0.99902,0.99497,0.94274,0.34335,0.20699,1.05021,0.005149,0.005149,0.005149
51,2420.64,0.54167,0.30163,1.1551,0.99763,0.99884,0.99499,0.93684,0.35929,0.21729,1.0557,0.00505,0.00505,0.00505
52,2468.08,0.54276,0.29992,1.15396,0.99814,0.99902,0.995,0.94717,0.32892,0.19915,1.04635,0.004951,0.004951,0.004951
53,2515.49,0.54286,0.30164,1.15551,0.99875,0.99889,0.995,0.94547,0.32504,0.19639,1.04532,0.004852,0.004852,0.004852
54,2562.58,0.53847,0.29878,1.15234,0.99826,0.99902,0.99498,0.94318,0.33577,0.20014,1.04872,0.004753,0.004753,0.004753
55,2609.68,0.53807,0.29714,1.15123,0.998,0.99893,0.99498,0.94389,0.3358,0.20109,1.0481,0.004654,0.004654,0.004654
56,2656.86,0.54012,0.29816,1.15563,0.99826,0.99891,0.99495,0.94351,0.33533,0.20123,1.04707,0.004555,0.004555,0.004555
57,2704.01,0.53352,0.29485,1.15041,0.99805,0.99871,0.99498,0.94395,0.34111,0.19995,1.0496,0.004456,0.004456,0.004456
58,2751.27,0.53152,0.29347,1.15215,0.99836,0.99873,0.99499,0.94364,0.33562,0.19571,1.04712,0.004357,0.004357,0.004357
59,2798.6,0.52902,0.2923,1.14942,0.99878,0.99877,0.99499,0.946,0.33274,0.19565,1.04711,0.004258,0.004258,0.004258
60,2845.76,0.5279,0.29045,1.14878,0.99833,0.99912,0.99497,0.94516,0.33474,0.19654,1.04778,0.004159,0.004159,0.004159
61,2892.95,0.52336,0.289,1.14658,0.99844,0.99894,0.99499,0.93956,0.34809,0.2014,1.0502,0.00406,0.00406,0.00406
62,2940.13,0.52191,0.2861,1.1481,0.99885,0.9989,0.99499,0.94548,0.33333,0.19417,1.0471,0.003961,0.003961,0.003961
63,2987.28,0.50647,0.28161,1.14235,0.99813,0.99915,0.99498,0.93482,0.36998,0.20744,1.057,0.003862,0.003862,0.003862
64,3034.38,0.48513,0.27613,1.13594,0.99818,0.99875,0.995,0.93381,0.37519,0.215,1.05909,0.003763,0.003763,0.003763
65,3081.62,0.4663,0.26886,1.13107,0.99818,0.99918,0.99499,0.93414,0.37546,0.21356,1.05828,0.003664,0.003664,0.003664
66,3128.81,0.45253,0.26472,1.12751,0.99827,0.99908,0.99499,0.93914,0.35447,0.20587,1.05266,0.003565,0.003565,0.003565
67,3176.04,0.44325,0.26223,1.12713,0.99773,0.99876,0.99499,0.939,0.35486,0.20406,1.05069,0.003466,0.003466,0.003466
68,3223.28,0.43675,0.25984,1.12335,0.99867,0.99889,0.99499,0.94071,0.356,0.20441,1.05161,0.003367,0.003367,0.003367
69,3270.53,0.43016,0.25743,1.12118,0.99905,0.99913,0.99499,0.94478,0.34284,0.19901,1.04845,0.003268,0.003268,0.003268
70,3318.13,0.42368,0.25574,1.11787,0.99837,0.99883,0.99499,0.93988,0.35596,0.20274,1.05108,0.003169,0.003169,0.003169
71,3365.33,0.41841,0.2533,1.11596,0.99884,0.99879,0.99499,0.94158,0.34757,0.19899,1.04935,0.00307,0.00307,0.00307
72,3412.48,0.41649,0.25201,1.1168,0.99866,0.99886,0.99496,0.94041,0.35037,0.19837,1.049,0.002971,0.002971,0.002971
73,3459.79,0.41211,0.252,1.11626,0.99891,0.99916,0.99499,0.94378,0.33573,0.19506,1.04602,0.002872,0.002872,0.002872
74,3507.01,0.40787,0.24834,1.11564,0.99891,0.99923,0.99499,0.94098,0.34169,0.19367,1.04725,0.002773,0.002773,0.002773
75,3554.22,0.40593,0.24693,1.11309,0.99917,0.9992,0.99499,0.94439,0.33344,0.18873,1.04361,0.002674,0.002674,0.002674
76,3601.28,0.39987,0.24442,1.11151,0.99922,0.99898,0.99499,0.94662,0.32639,0.18638,1.04282,0.002575,0.002575,0.002575
77,3648.47,0.39863,0.24399,1.11203,0.99928,0.99889,0.995,0.94438,0.33248,0.18713,1.044,0.002476,0.002476,0.002476
78,3695.72,0.39703,0.24096,1.11037,0.99912,0.99891,0.99499,0.94219,0.33729,0.18858,1.04508,0.002377,0.002377,0.002377
